Index,Subject Number,Subject Name,Group Assignments,Assignment Types,Keywords,Handbook Link
0,42890,4G/5G Mobile Technologies,1,"Quiz/test,Laboratory/practical,Examination,Presentation","LTE,5G,4G,Mobile Networks,Mobile Technologies  ",https://handbook.uts.edu.au/subjects/42890.html
1,13992,Aboriginal Sydney Now,0,"Quiz/test,Essay","Indigenous Australia,Aboriginal and Torres Strait Islander Communities,Human Rights,Social Justice,Critical Race Theory ",https://handbook.uts.edu.au/subjects/013992.html
2,41051,Accelerating Your Prototyping and Commercialisation Strategies,0,Portfolio,"Prototyping,Commercialisation,Design Thinking,Scrum",https://handbook.uts.edu.au/subjects/details/41051.html
3,48371,Advanced Engineering Computing,1,Project,"Numerical Analysis,MATLAB,Algorithms,Linear Equations,Numerical Integration",https://handbook.uts.edu.au/subjects/details/48371.html
4,49312,Advanced Flow Modelling,1,"Project,Report","Flow Modelling,Computational Fluid Dynamics,Navier Stokes Equations, ",https://handbook.uts.edu.au/subjects/details/49312.html
5,48663,Advanced Manufacturing,1,"Report,Laboratory/practical","Quality Management,Manufacturing,Process Programming,Industrial Robotics,3D Scanning,Additive Manufacturing",https://handbook.uts.edu.au/subjects/details/48663.html
6,49274,Advanced Robotics,1,"Laboratory/practical,Presentation,Report,Examination","Robotics, Mechatronics,Embedded C,Object-Oriented Design,Programming,Sensors,Data Fusion,Actuators",https://handbook.uts.edu.au/subjects/details/49274.html
7,49254,Advanced Soil Mechanics and Foundation Design,0,"Report,Case Study","Soil Mechanics,Earthquake Geotechnics",https://handbook.uts.edu.au/subjects/details/49254.html
8,42991,Advanced Water and Wastewater Treatment,0,Report,"Wastewater Treatment,Water Quality,Water Chemistry,Desalination Plant Design",https://handbook.uts.edu.au/subjects/details/42991.html
9,49049,Air and Noise Pollution,1,"Report,Exercises","Air Pollution,Noise Pollution,Air Quality,Climate Change",https://handbook.uts.edu.au/subjects/details/49049.html
10,49322,Airconditioning,0,"Laboratory/practical,Examination,Project,Exercises","Airconditioning,Indoor Environmental Quality,Heating and Cooling Loads,Duct Design",https://handbook.uts.edu.au/subjects/details/49322.html
11,49136,Application of Timber in Engineering Structures,1,"Exercises,Project,Presentation,",Timber,https://handbook.uts.edu.au/subjects/details/49136.html
12,48024,Applications Programming,0,"Laboratory/practical,Project,Quiz/test,","Programming,Debugging,Java,Object-Oriented Design",https://handbook.uts.edu.au/subjects/details/48024.html
13,49118,Applied Geotechnics,0,"Exercises,Project","Geotechnical Engineering,Soil Mechanics,Retaining Wall Analysis,Tunnelling Design,Rail Track Engineering,Geomechanics,Geotechnics",https://handbook.uts.edu.au/subjects/details/49118.html
14,36200,"Arguments, Evidence and Intuition",0,"Project,Report,Exercises","Descriptive Statistics,Arguments and Evidence,Correlation and Causation",https://handbook.uts.edu.au/subjects/details/36200.html
15,42001,Bioinformatics,1,"Quiz/test,Presentation,Report","Human Genome,DNA,RNA,Genomic Data",https://handbook.uts.edu.au/subjects/details/42001.html
16,49261,Biomedical Instrumentation,1,"Literature Review,Project,","Nervous System,Sirculatory System,Electrophysiological Instrumentation and Devices,Electromyography,Electroencephalograms,Electrocardiograms,Biomedical Devices",https://handbook.uts.edu.au/subjects/details/49261.html
17,42906,Biomedical Signal Processing,1,"Project,Examination","Signal Processing,Joint Time-Frequency Analysis,Image Processing,Biomedical Signals/Images,Cardiorespiratory Signals,",https://handbook.uts.edu.au/subjects/details/42906.html
18,49131,Bridge Design,0,Report,"Bridges,Bridge Design,Waterway Bridges,Bridge Engineering",https://handbook.uts.edu.au/subjects/details/49131.html
19,49255,Catchment Modelling,0,Report,"Catchment Modelling,Numerical Solution Techniques",https://handbook.uts.edu.au/subjects/details/49255.html
20,65111,Chemistry 1,1,"Laboratory/practical,Quiz/test,Examination","Periodic Table,Atoms,Elements,Chemical Reactions,Moles,Stoichiometry,Ionic and Covalent Bonds,pH",https://handbook.uts.edu.au/subjects/details/65111.html
21,48530,Circuit Analysis and Design,1,"Laboratory/practical,Quiz/test","AC Circuit Analysis,Circuits,Fourier Series,Laplace Transforms,Signals",https://handbook.uts.edu.au/subjects/details/48530.html
22,48389,Computer Modelling and Design,1,"Project,Quiz/test,Exercises","Structural Loads,Structural Design with Computer Modelling,Analysis of Structural Frameworks",https://handbook.uts.edu.au/subjects/details/48389.html
23,49325,Computer-aided Mechanical Design,1,"Case study,Project","Computer-aided Modelling for Solid Geometry,Computational Mechanics,Topological Design,Finite Element Method",https://handbook.uts.edu.au/subjects/details/49325.html
24,48353,Concrete Design,1,"Quiz/test,Project","Concrete Design,Concrete Behaviour",https://handbook.uts.edu.au/subjects/details/48353.html
25,49151,Concrete Technology and Practice,1,"Quiz/test,Report","Concrete Production,Concrete Properties,Concrete Mix Design,Concrete Transportation,Concrete Curing",https://handbook.uts.edu.au/subjects/details/49151.html
26,48340,Construction,1,"Report,Quiz/test","Earthmoving,Compaction,Construction,Lean Construction Principles and Tools",https://handbook.uts.edu.au/subjects/details/48340.html
27,48352,Construction Materials,1,"Quiz/test,Report","Construction Materials,Iron Alloys,Structural Steels,Concrete Making",https://handbook.uts.edu.au/subjects/details/48352.html
28,49116,Contaminated Site and Waste Remediation,0,"Quiz/test,Report,Presentation","Waste Remediation,Contaminated Site Investigation,Contaminant Predictive Modelling,Contaminant Transport Processes,Site Contaminant Types",https://handbook.uts.edu.au/subjects/details/49116.html
29,48560,Control Studio A,1,"Presentation,Report,Design/drawing/plan/sketch,Demonstration,Examination","Lagrange Equations,Ziegler-Nichols Techniques,PID Controllers,Pseudo-Derivative-Feedback (PDF) Controllers,Digital Controller Design,Analog Controller Design",https://handbook.uts.edu.au/subjects/details/48560.html
30,48580,Control Studio B,1,"Presentation,Demonstration,Project,Exercises","Linearisation of Multivariable Nonlinear Systems,Modelling and Simulation of Multivariable Systems,Optimal Control and Filtering of Multivariable Systems",https://handbook.uts.edu.au/subjects/details/48580.html
31,49329,Control of Mechatronic Systems,1,"Exercises,Laboratory/practical,Project,Examination","Mechatronic Systems,Mechatronic Control Systems Design,Control of Mechatronic Systems",https://handbook.uts.edu.au/subjects/details/49329.html
32,41900,Cryptography,1,"Laboratory/practical,Quiz/test,Project","Encryption,Block Ciphers,Public Key Cryptography,Cryptographic Hash Functions,Blockchain,Cryptography",https://handbook.uts.edu.au/subjects/details/41900.html
33,48730,Cybersecurity,0,"Quiz/test,Laboratory/practical,Examination","Cybersecurity,Cyber Threat Intelligence,Secure Programming Principles,DoS and DDOS Attacks,Intrusion Detection/Prevention Systems,IoT Security,Firewalls",https://handbook.uts.edu.au/subjects/details/48730.html
34,49127,Decentralised Environmental Systems,0,Report,"Waste Management, Water Management, Wastewater Treatment Systems, Irrigation, Decentralised Treatment System",https://handbook.uts.edu.au/subjects/details/49127.html
35,49928,Design Optimisation for Manufacturing,1,"Report, Exercises, Project, Examination","Design Optimisation, Optimisation Techniques, Decision-Making",https://handbook.uts.edu.au/subjects/details/49928.html
36,42907,Design for Durability,1,"Project, Quiz/test","Concrete Structures, Quality Control, Construction, Durability",https://handbook.uts.edu.au/subjects/details/42907.html
37,48660,Dynamics and Control,1,"Quiz/test, Laboratory/practical, Report","System Modelling, Linear Dynamic Systems, Control System, PID Control, Feedback Systems, Control of Steady-State Error",https://handbook.uts.edu.au/subjects/details/48660.html
38,41023,Early-stage Prototyping,0,Portfolio,"Problem Solving, Design And Decision-Making, Early-Stage Prototyping",https://handbook.uts.edu.au/subjects/details/41023.html
39,48571,Electrical Machines,1,"Report, Project","Electrical Machine Technology, Matlab, Simulink, Electrical Machines, Power Electronic Circuits, Synchronous Machines And Drives",https://handbook.uts.edu.au/subjects/details/48571.html
40,48531,Electromechanical Automation,1,"Laboratory/practical, Quiz/test, Report, Examination","Electric Fields, Magnetic Fields, Electric Circuits, Magnetic Circuits, Electromechanical Automation System",https://handbook.uts.edu.au/subjects/details/48531.html
41,48520,Electronics and Circuits,1,"Quiz/test, Laboratory/practical, Examination","Circuit Analysis Techniques, System Modelling, Circuit Simulation, Frequency Response, Waveform Generation",https://handbook.uts.edu.au/subjects/details/48520.html
42,48434,Embedded Software,1,"Laboratory/practical, Quiz/test, Project","Embedded Systems, Concurrent Software, Embedded C, Embedded Software, Real-Time Operating Systems, Microcontroller Architecture",https://handbook.uts.edu.au/subjects/details/48434.html
43,48451,Embedded Systems Studio A,0,Project,"Analysis/Design of Computing Node, VHDL Programming, Sequential Design, State Machines, Arithmetic Logic Units",https://handbook.uts.edu.au/subjects/details/48451.html
44,48570,Embedded Systems Studio B,1,"Portfolio, Report","Data Acquisition, Embedded Software, Cloud Processing, Data Distribution, Embedded Systems Development",https://handbook.uts.edu.au/subjects/details/48570.html
45,48221,Engineering Computations,1,"Quiz/test, Project","Programming, Numerical Techniques, Visual Basic Programming, Computational Numerical Methods, Operating Systems",https://handbook.uts.edu.au/subjects/details/48221.html
46,48850,Environmental Planning and Law,0,"Quiz/test, Report","Environmental Law, Environmental Planning",https://handbook.uts.edu.au/subjects/details/48850.html
47,49125,Environmental Risk Assessment,0,"Exercises, Report","Environmental Risk, Risk Assessment, Exposure Assessment, Risk Analysis And Evaluation, Risk Models, Risk Management",https://handbook.uts.edu.au/subjects/details/49125.html
48,48350,Environmental and Sanitation Engineering,1,"Report, Quiz/test","Environmental Issues, Environmental Legislation, Water And Wastewater Treatment, Landfill Management, Water Pollution",https://handbook.uts.edu.au/subjects/details/48350.html
49,49115,Facade Engineering,0,Design/drawing/plan/sketch,"Glass Design,Aluminium Design,Concrete Walls,Facade Design,Windows",https://handbook.uts.edu.au/subjects/details/49115.html
50,49047,Finite Element Analysis,1,"Exercises,Project","Variational Calculus,Differential Equations,Physics,Mathematics,Ritz Method,Formulas",https://handbook.uts.edu.au/subjects/details/49047.html
51,49256,Flood Estimation,0,"Report,Examination","Flood Flow Estimation,Statistical Techniques,Simulation Techniques,Rainfall Model,Parameter Estimation",https://handbook.uts.edu.au/subjects/details/49256.html
52,49117,Floodplain Risk Management,1,Report,"Flood Risk Management,Land Use Planning,Modelling Basics,Model Review,Mitigation Work Projects",https://handbook.uts.edu.au/subjects/details/49117.html
53,48641,Fluid Mechanics,1,"Laboratory/practical,Project,	Quiz/test,Examination","Fluid Properties,Fluid Statics,Conservation Laws,External Flow,Open-Channel Flow,Flow In Pipes",https://handbook.uts.edu.au/subjects/details/48641.html
54,48430,Fundamentals of C Programming,1,"Quiz/test,Laboratory/practical,Project,Examination","Programming,Loop Statements,Control Statements,Arrays,Structures,Pointers",https://handbook.uts.edu.au/subjects/details/48430.html
55,48521,Fundamentals of Electrical Engineering,1,"Laboratory/practical,Quiz/test,Examination","Electrostatics,Electromagnetics,Magnetic Devices,Electronics Devices,Amplifiers,Electrical Measurements",https://handbook.uts.edu.au/subjects/details/48521.html
56,48620,Fundamentals of Mechanical Engineering,0,"Quiz/test,Examination","Force Vectors,Force System,Resultants,Equilibrium,Frames,Machines,Kinematics,Force,Motion,Energy,Linear Impulse,Momentum,Impact",https://handbook.uts.edu.au/subjects/details/48620.html
57,49257,Geographic Information Systems,1,"Laboratory/practical,Exercises,Project","Geographic Information Systems,Geo-Processing,Environmental Engineering,Raster Processing,Vector,Spatial Modelling",https://handbook.uts.edu.au/subjects/details/49257.html
58,48360,Geotechnical Engineering,0,"Report,Quiz/test,Project","Geotechnical Design,Site Investigation,Shallow Foundations,Deep Foundations,Retaining Structures,Slope Stability,Soil Improvement",https://handbook.uts.edu.au/subjects/details/48360.html
59,48661,Heat Transfer,1,"Quiz/test,Report,Examination","Heat Transfer,Design,Analysis,Heat Exchangers",https://handbook.uts.edu.au/subjects/details/48661.html
60,48362,Hydraulics and Hydrology,0,"Report,Quiz/test","Meteorology,Climatology,Hydrology,Rainfall Losses,Evaporation,Groundwater,Energy Principles,Momentum",https://handbook.uts.edu.au/subjects/details/48362.html
61,41181,Information Security and Management,1,"Report,Examination","Management of Information Security,Security and Compliance,Risk Analysis and Management,Contingencies,Personnel,Protection,Law,Ethics",https://handbook.uts.edu.au/subjects/details/41181.html
62,49307,Internal Combustion Engines,1,"Laboratory/practical,Exercises,Examination","Engine Structure,Power Cycles,Engine,Thermodynamics,Supercharging,Turbocharging,Renewable Fuels",https://handbook.uts.edu.au/subjects/details/49307.html
63,48033,Internet of Things,1,"Literature review,Laboratory/practical, Quiz/test","Internet of Things,Sensors,Topologies,Actuators,Localisation,Aggregation,Clustering,Routing,RFID Technology,Security,Cloud Computing,Augmented Reality",https://handbook.uts.edu.au/subjects/details/48033.html
64,31250,Introduction to Data Analytics,0,Report,"Data Mining,Visual Data,Data Pre-Processing,Data Transformation,Classification,Prediction,Clustering,Deployment",https://handbook.uts.edu.au/subjects/details/31250.html
65,41082,Introduction to Data Engineering,1,"Quiz/test,Report","Data,Data Engineering,Complex Systems,Systems Modelling,Application Design,Matlab",https://handbook.uts.edu.au/subjects/details/41082.html
66,48510,Introduction to Electrical and Electronic Engineering,1,"Quiz/test,Laboratory/practical","Basic Circuits,Diodes,Electrostatic Field Theory,Capacitance,Magnetic Field Theory,Inductance,Microcontrollers,Digital Logic Circuits,Sensors,Interfacing,AC Power",https://handbook.uts.edu.au/subjects/details/48510.html
67,48080,Introduction to Innovation,1,Report,"Innovation,Commercialisation,Case Studies",https://handbook.uts.edu.au/subjects/details/48080.html
68,48610,Introduction to Mechanical and Mechatronic Engineering,0,"Design/drawing/plan/sketch,Project","Engineering Sketching and Drawing,Computer Aided Design (CAD),Mechanical Systems and Components,Motion,Power Transmission,Energy Conversion",https://handbook.uts.edu.au/subjects/details/48610.html
69,41025,Introduction to Software Development,1,"Project,Quiz/test","Task Management,Software Development,Software Construction,Software Evaluation",https://handbook.uts.edu.au/subjects/details/41025.html
70,48441,Introductory Digital Systems,0,"Quiz/test,Laboratory/practical","Digital Combinational,Sequential Circuits,State Diagram,Digital Circuits,Hardware Architectures,Programming,Central Processing Unit,Input-Output,Micro-Controller",https://handbook.uts.edu.au/subjects/details/48441.html
71,42903,MPLS and Services Architecture,0,"Examination,Laboratory/practical","Multiprotocol Label Switching,Services Architecture,Networks,Routing,Signalling Protocols",https://handbook.uts.edu.au/subjects/details/42903.html
72,48640,Machine Dynamics,0,"Exercises,Examination","Mechanics,Kinetics,Physics,Forces,Motion",https://handbook.uts.edu.au/subjects/details/48640.html
73,48621,Manufacturing Engineering,0,"Project,Laboratory/practical","Manufacturing,Casting,Forging,Machining,Fabrication,Metrology",https://handbook.uts.edu.au/subjects/details/48621.html
74,49316,Materials Handling,0,"Case study,Laboratory/practical,Examination","Materials,Storage,Materials Handling,Conveyor",https://handbook.uts.edu.au/subjects/details/49316.html
75,48600,Mechanical Design 1,1,"Design/drawing/plan/sketch,Project","CAD,Assembly Models,Mechanical Systems,Motor,Mechatronics",https://handbook.uts.edu.au/subjects/details/48600.html
76,48650,Mechanical Design 2,0,"Quiz/test,Report","Gears,Frictional Devices,Brakes,Shafts,Mechanisms",https://handbook.uts.edu.au/subjects/details/48650.html
77,48601,Mechanical Vibration and Measurement,1,"Quiz/test,Laboratory/practical,Project","Mechanical Systems,Structural Systems,Sensors,Vehicles,Vibrations,Signal Processing",https://handbook.uts.edu.au/subjects/details/48601.html
78,48670,Mechanical and Mechatronic Design,1,"Demonstration,Presentation,Report,Project","Mechanical Design,Mechatronic Design,Engineering Solutions",https://handbook.uts.edu.au/subjects/details/48670.html
79,48331,Mechanics of Solids,1,"Quiz/test,Exercises,Project","Mechanics,Axial Motion,Slopes,Beams",https://handbook.uts.edu.au/subjects/details/48331.html
80,48622,Mechatronics 1,0,"Demonstration,Quiz/test","Circuits,Input Devices,Output Devices,Central Processing Unit,Low-Level Language Programming",https://handbook.uts.edu.au/subjects/details/48622.html
81,48623,Mechatronics 2,0,"Quiz/test,Demonstration,Report","Mechatronics,Sensors,Microprocessor-Based Mechatronic System",https://handbook.uts.edu.au/subjects/details/48623.html
82,41092,Network Fundamentals,1,"Laboratory/practical,Project,Quiz/test,Examination","Networks,Internet,HTTP,Email,IPv4,IPv6",https://handbook.uts.edu.au/subjects/details/41092.html
83,49275,Neural Networks and Fuzzy Logic,1,"Report,Project","Artificial Neural Systems,Fuzzy Logic Theory,Neural Networks,Genetic Algorithm",https://handbook.uts.edu.au/subjects/details/49275.html
84,49258,Pavement Analysis and Design,0,"Report,Project,Quiz/test","Pavements,Drainage,Materials",https://handbook.uts.edu.au/subjects/details/49258.html
